Player;Age;90s;Gls;Ast;G+A;DxG;DxAG;PrgC;PrgP;PrgR;Gls/90;Ast/90;G+A/90;DxG/90;DxAG/90;Price
Lucas Robertone;26;31.6;2;7;9;-0.6;0.4;47;155;97;0.06;0.22;0.28;-0.02;0.01;
Marc Roca;27;25.7;1;2;3;-1.1;-0.9;25;172;28;0.04;0.08;0.12;-0.04;-0.03;
Sebastian Rode;33;15.7;4;1;5;3.1;0.1;23;105;39;0.25;0.06;0.32;0.19;0;
Rodri;27;32.3;2;6;8;-2.6;1.9;76;260;37;0.06;0.19;0.25;-0.08;0.06;
Óscar Rodríguez Arnaiz;25;19.7;2;0;2;-1.6;-2.2;29;118;37;0.10;0.00;0.10;-0.08;-0.11;
Dani Rodríguez;35;23.3;3;6;9;0.6;2.8;43;76;64;0.13;0.26;0.39;0.03;0.12;
Guido Rodríguez;29;31.9;1;0;1;-0.2;-0.4;11;123;18;0.03;0.00;0.03;-0.01;-0.01;
Iván Romero;22;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Oriol Romeu;32;0.8;0;0;0;0;0;2;4;0;0.00;0.00;0.00;0;0;
Oriol Romeu;32;32.8;2;0;2;0.2;-0.9;15;133;16;0.06;0.00;0.06;0.01;-0.03;
Connor Ronan;25;0.0;0;0;0;0;0;0;0;1;0.00;0.00;0.00;0;0;
Valentin Rongier;29;33.7;1;2;3;-0.7;-0.7;57;238;72;0.03;0.06;0.09;-0.02;-0.02;
Marten de Roon;32;32.9;3;1;4;1.9;-0.8;18;171;23;0.09;0.03;0.12;0.06;-0.03;
Joe Rothwell;28;11.3;0;1;1;-0.2;0;12;33;12;0.00;0.09;0.09;-0.01;0;
Nicolò Rovella;22;19.3;1;2;3;-0.2;-0.2;26;99;19;0.05;0.10;0.16;-0.01;-0.01;
Nicolò Rovella;22;0.3;0;0;0;-0.1;0;1;1;2;0.00;0.00;0.00;-0.3;0;
Sebastian Rudy;33;8.8;0;1;1;-0.2;0.2;7;42;7;0.00;0.11;0.11;-0.02;0.02;
Kays Ruiz;21;0.7;0;0;0;0;0;1;0;2;0.00;0.00;0.00;0;0;
Fabián Ruiz Peña;27;21.0;3;2;5;0.2;-0.1;32;128;86;0.14;0.10;0.24;0.01;0;
Marcel Sabitzer;29;7.0;0;1;1;-0.7;0.1;8;38;26;0.00;0.14;0.14;-0.11;0.01;
Marcel Sabitzer;29;7.0;1;1;2;-0.1;0.6;7;52;19;0.14;0.14;0.29;-0.01;0.09;
Samuel Sáiz;32;2.7;2;0;2;0.3;-0.2;5;17;18;0.75;0.00;0.75;0.11;-0.08;
Hamza Sakhi;27;18.4;1;2;3;-0.7;-1.2;43;135;75;0.05;0.11;0.16;-0.04;-0.06;
Jacopo Sala;32;1.2;0;0;0;0;0;2;6;3;0.00;0.00;0.00;0;-0.01;
Dikeni Salifou;20;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Lazar Samardzic;21;20.6;5;4;9;2.6;0.3;34;100;65;0.24;0.19;0.44;0.12;0.01;
Albert Sambi Lokonga;24;2.2;0;0;0;0;0;0;12;2;0.00;0.00;0.00;0;-0.01;
Albert Sambi Lokonga;24;6.0;0;0;0;-0.2;0;2;20;2;0.00;0.00;0.00;-0.03;-0.01;
Fede San Emeterio;26;20.5;0;1;1;-0.3;0.2;1;45;11;0.00;0.05;0.05;-0.02;0.01;
Oihan Sancet;23;28.1;10;2;12;2.4;-2.2;91;159;156;0.36;0.07;0.43;0.09;-0.08;
