Player;Age;90s;Gls;Ast;G+A;DxG;DxAG;PrgC;PrgP;PrgR;Gls/90;Ast/90;G+A/90;DxG/90;DxAG/90;Price
Tammy Abraham;26;24.3;8;3;11;-2.8;-0.6;35;54;141;0.33;0.12;0.45;-0.12;-0.03;
Mohamed Achi;21;0.4;0;0;0;-0.1;0;2;3;1;0.00;0.00;0.00;-0.3;-0.08;
Che Adams;27;22.1;5;3;8;-1.6;0.2;17;34;115;0.23;0.14;0.36;-0.07;0.01;
Amar Ahmed;19;0.2;0;0;0;0;0;0;1;2;0.00;0.00;0.00;0;0;
Ludovic Ajorque;29;8.6;1;0;1;-2.4;-0.9;2;13;55;0.12;0.00;0.12;-0.27;-0.1;
Babatunde Akinsola;20;0.1;0;0;0;0;0;1;0;3;0.00;0.00;0.00;0;0;
Miguel Almirón;29;27.7;11;2;13;3;-1.2;77;124;264;0.40;0.07;0.47;0.11;-0.04;
Carlos Álvarez;20;0.1;0;0;0;0;0;;;;0.00;0.00;0.00;0;0;
Felipe Anderson;30;32.9;9;2;11;3;-2.8;83;114;224;0.27;0.06;0.33;0.09;-0.09;
Komnen Andrić;28;16.1;4;3;7;-1.5;2.1;8;27;88;0.25;0.19;0.44;-0.09;0.13;
Janis Antiste;21;0.6;1;0;1;0.8;0;0;1;2;1.73;0.00;1.73;1.42;0;
Michail Antonio;33;20.3;5;3;8;-1.6;1.7;49;27;120;0.25;0.15;0.39;-0.07;0.09;
Antony;23;20.0;4;2;6;-2.6;-0.9;95;74;168;0.20;0.10;0.30;-0.13;-0.04;
Taïryk Arconte;20;1.4;0;0;0;-0.3;-0.1;1;1;8;0.00;0.00;0.00;-0.19;-0.1;
Marko Arnautović;34;17.0;10;0;10;2.8;-1.9;13;36;116;0.59;0.00;0.59;0.17;-0.11;
Arthur;25;15.9;8;1;9;0.1;0.2;11;21;86;0.50;0.06;0.57;0.01;0.01;
Fisnik Asllani;21;1.9;0;0;0;-1.7;-0.2;4;1;19;0.00;0.00;0.00;-0.88;-0.1;
Iago Aspas;36;31.9;12;3;15;0.9;-2.6;80;162;239;0.38;0.09;0.47;0.03;-0.09;
Pierre-Emerick Aubameyang;34;6.2;1;0;1;-0.5;-0.4;9;3;29;0.16;0.00;0.16;-0.08;-0.07;
Pierre-Emerick Aubameyang;34;0.1;0;0;0;-0.1;0;0;0;0;0.00;0.00;0.00;-1.18;0;
Taiwo Awoniyi;26;15.6;10;1;11;3.4;-0.1;18;12;55;0.64;0.06;0.71;0.22;-0.01;
Folarin Balogun;22;33.3;21;2;23;-5.6;-1.8;56;55;283;0.63;0.06;0.69;-0.17;-0.05;
Jonathan Bamba;27;30.9;6;7;13;-2.2;0.5;111;146;345;0.19;0.23;0.42;-0.08;0.02;
Patrick Bamford;30;16.8;4;2;6;-4.6;1;17;23;96;0.24;0.12;0.36;-0.27;0.06;
Gil Bastião Dias;27;4.4;1;0;1;0.5;-0.7;16;14;33;0.23;0.00;0.23;0.11;-0.15;
Bebé;33;0.7;0;0;0;-0.1;-0.1;5;1;10;0.00;0.00;0.00;-0.12;-0.13;
Sheraldo Becker;28;28.4;11;7;18;4.5;1.4;105;44;240;0.39;0.25;0.63;0.16;0.05;
Kevin Behrens;32;17.1;8;1;9;3.2;-0.3;11;71;92;0.47;0.06;0.53;0.19;-0.01;
Andrea Belotti;30;12.7;0;2;2;-3.5;0.4;21;13;94;0.00;0.16;0.16;-0.27;0.03;
Wissam Ben Yedder;33;23.5;19;6;25;1.6;2.2;48;75;198;0.81;0.26;1.06;0.07;0.1;
Karim Benzema;36;22.6;19;3;22;-2.5;-2.8;72;138;157;0.84;0.13;0.97;-0.11;-0.13;
Domenico Berardi;29;20.7;12;7;19;0.6;0.4;57;114;213;0.58;0.34;0.92;0.03;0.02;
Álex Berenguer;28;25.5;4;1;5;-0.3;-3.6;73;77;249;0.16;0.04;0.20;-0.01;-0.14;
Mergim Berisha;25;18.7;9;4;13;0.9;1.3;20;28;99;0.48;0.21;0.70;0.05;0.07;
Beto;25;23.6;10;1;11;-0.9;-1.6;25;13;121;0.42;0.04;0.47;-0.04;-0.07;
El Bilal Touré;22;14.0;7;2;9;0.7;0.7;18;14;51;0.50;0.14;0.64;0.05;0.05;
El Bilal Touré;22;1.0;0;0;0;0;-0.1;0;1;1;0.00;0.00;0.00;-0.03;-0.05;
Myron Boadu;22;3.3;3;0;3;0.4;-0.3;5;3;21;0.92;0.00;0.92;0.13;-0.09;
Lucas Boyé;27;27.4;7;2;9;-1.3;-0.9;58;63;160;0.26;0.07;0.33;-0.04;-0.04;
Armando Broja;22;3.3;1;0;1;0.2;-0.1;8;4;17;0.31;0.00;0.31;0.05;-0.02;
Jacob Bruun Larsen;25;3.6;1;0;1;-0.3;-0.4;10;4;24;0.27;0.00;0.27;-0.09;-0.11;
Ante Budimir;32;20.0;8;0;8;0.3;-0.7;23;23;98;0.40;0.00;0.40;0.02;-0.03;
Dominic Calvert-Lewin;26;12.9;2;1;3;-3.8;0.2;18;15;56;0.15;0.08;0.23;-0.3;0.02;
Sergio Camello;22;26.7;6;5;11;-1.3;2.6;40;42;122;0.22;0.19;0.41;-0.05;0.1;
Matteo Cancellieri;21;2.8;0;0;0;-0.4;-0.4;15;2;33;0.00;0.00;0.00;-0.14;-0.14;
Thomas Cannon;21;0.3;0;0;0;-0.1;-0.5;1;0;2;0.00;0.00;0.00;-0.32;-1.95;
Francesco Caputo;36;12.2;1;0;1;-0.9;-0.5;6;11;76;0.08;0.00;0.08;-0.07;-0.04;
Francesco Caputo;36;19.0;5;4;9;-2.5;1.8;16;21;128;0.26;0.21;0.47;-0.13;0.09;
Valentín Castellanos;25;28.9;13;0;13;2;-1.7;30;34;128;0.45;0.00;0.45;0.07;-0.06;
Edinson Cavani;36;16.1;5;2;7;-1;0.3;8;20;53;0.31;0.12;0.43;-0.06;0.01;
Assan Ceesay;29;20.1;6;0;6;0.9;-0.8;21;16;111;0.30;0.00;0.30;0.05;-0.04;
Emil Ceide;22;5.7;0;1;1;-0.8;-0.3;37;19;47;0.00;0.17;0.17;-0.15;-0.06;
Darko Churlinov;23;0.3;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Daniel Ciofani;38;11.8;8;0;8;2.5;-0.7;5;10;36;0.68;0.00;0.68;0.21;-0.06;
Alexis Claude-Maurice;25;0.7;0;0;0;-0.1;0;0;2;1;0.00;0.00;0.00;-0.12;-0.07;
Diego Collado;22;0.1;0;0;0;0;0;0;1;3;0.00;0.00;0.00;0;0;
Lorenzo Colombo;21;16.8;5;2;7;-1.2;0.6;14;21;119;0.30;0.12;0.42;-0.07;0.03;
Maxwel Cornet;27;2.7;0;0;0;-1.3;-0.1;9;5;26;0.00;0.00;0.00;-0.47;-0.02;
Jesús Corona;30;1.2;1;0;1;0.5;-0.2;3;3;9;0.81;0.00;0.81;0.44;-0.2;
Joaquín Correa;29;10.6;3;1;4;-0.4;-0.3;19;29;61;0.28;0.09;0.38;-0.05;-0.03;
Diego Costa;35;13.8;1;0;1;-2.2;-0.7;19;13;60;0.07;0.00;0.07;-0.16;-0.05;
Juan Cruz;23;2.0;1;0;1;0.5;-0.1;7;1;15;0.51;0.00;0.51;0.28;-0.07;
Matheus Cunha;24;10.7;2;0;2;0;-0.6;16;14;43;0.19;0.00;0.19;0;-0.05;
Luca D'Andrea;19;3.5;0;1;1;-0.3;0.2;11;9;29;0.00;0.28;0.28;-0.08;0.05;
Moanes Dabbur;31;10.4;6;2;8;2.5;-0.2;10;33;61;0.58;0.19;0.77;0.24;-0.02;
Patson Daka;25;13.2;4;4;8;0.5;1.2;18;17;82;0.30;0.30;0.61;0.03;0.09;
Thijs Dallinga;23;26.1;12;1;13;2.2;-1;23;30;174;0.46;0.04;0.50;0.08;-0.04;
Arnaut Danjuma;26;5.3;2;0;2;-0.7;-0.4;12;2;35;0.38;0.00;0.38;-0.12;-0.07;
Jonathan David;23;35.2;24;4;28;0.4;-2.1;67;95;297;0.68;0.11;0.80;0.01;-0.06;
Grégoire Defrel;32;13.0;2;1;3;-1.5;0.5;11;10;75;0.15;0.08;0.23;-0.12;0.04;
Andy Delort;32;8.7;6;1;7;0.6;-0.4;7;19;48;0.69;0.12;0.81;0.07;-0.04;
Andy Delort;32;5.2;0;0;0;-2.5;-0.7;2;9;44;0.00;0.00;0.00;-0.49;-0.14;
Ousmane Dembélé;26;15.7;5;7;12;1.1;2.1;124;74;209;0.32;0.45;0.77;0.07;0.14;
Cyriel Dessers;29;17.6;6;1;7;-1.1;-0.6;21;27;110;0.34;0.06;0.40;-0.06;-0.03;
Gerard Deulofeu;29;13.5;2;6;8;-3.1;1.6;72;82;118;0.15;0.45;0.59;-0.23;0.12;
Mamadou Diakhon;18;0.2;0;0;0;0;0;1;0;1;0.00;0.00;0.00;-0.14;0;
Habib Diallo;28;32.0;20;1;21;2.2;-2.5;40;41;203;0.63;0.03;0.66;0.07;-0.08;
Luis Díaz;26;11.1;4;2;6;1.5;0.5;39;49;116;0.36;0.18;0.54;0.14;0.04;
Bamba Dieng;23;8.3;3;0;3;-1.9;-0.6;4;7;48;0.36;0.00;0.36;-0.23;-0.08;
Florian Dietz;25;4.4;1;0;1;-1.5;-0.3;8;5;22;0.23;0.00;0.23;-0.34;-0.07;
Lois Diony;31;5.6;1;0;1;-1.2;-0.3;14;11;64;0.18;0.00;0.18;-0.21;-0.06;
Moussa Djitte;24;1.5;0;0;0;-0.1;0;0;2;12;0.00;0.00;0.00;-0.09;-0.01;
Alan Do Marcolino;21;0.2;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Ben Doak;18;0.3;0;0;0;0;0;1;1;4;0.00;0.00;0.00;0;0;
Kasper Dolberg;26;2.2;0;1;1;0;0.6;2;2;9;0.00;0.46;0.46;-0.02;0.28;
Dion Drena Beljo;21;12.5;3;2;5;1.4;0.3;14;15;42;0.24;0.16;0.40;0.12;0.03;
Marvin Ducksch;29;31.7;12;6;18;0.7;0.5;31;58;215;0.38;0.19;0.57;0.02;0.02;
Hugo Duro;24;15.4;1;1;2;-3.4;-0.1;9;19;67;0.06;0.06;0.13;-0.23;-0.01;
Edin Džeko;37;19.2;9;3;12;-0.7;-0.2;32;67;150;0.47;0.16;0.62;-0.03;-0.01;
Odsonne Édouard;25;20.0;5;2;7;0.8;0.8;29;32;100;0.25;0.10;0.35;0.04;0.04;
Julian Eitschberger;19;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Hugo Ekitike;21;12.8;3;4;7;-0.7;2.4;23;23;84;0.23;0.31;0.55;-0.06;0.18;
Anthony Elanga;21;4.7;0;1;1;-0.7;0.1;12;8;28;0.00;0.21;0.21;-0.15;0.02;
Adri Embarba;31;0.4;0;0;0;-0.1;0;1;0;2;0.00;0.00;0.00;-0.2;0;
Breel Embolo;26;20.7;12;2;14;3.5;-1.2;24;52;159;0.58;0.10;0.68;0.17;-0.06;
Youssef En-Nesyri;26;18.5;8;1;9;-0.1;-0.1;16;12;71;0.43;0.05;0.49;-0.01;-0.01;
Ansu Fati;21;15.5;7;3;10;-2.1;1.3;47;48;178;0.45;0.19;0.65;-0.14;0.08;
Cheikh Faye;24;0.4;0;0;0;0;0;0;0;3;0.00;0.00;0.00;0;0;
Evan Ferguson;19;10.6;6;2;8;0.7;1.3;11;14;58;0.57;0.19;0.76;0.06;0.12;
Carlos Fernández;27;7.0;1;0;1;-1.4;-0.6;9;13;54;0.14;0.00;0.14;-0.2;-0.08;
Phil Foden;23;20.5;11;6;17;5.1;1.3;68;88;275;0.54;0.29;0.83;0.25;0.06;
Datro Fofana;21;0.8;0;0;0;-0.2;-0.1;2;2;9;0.00;0.00;0.00;-0.31;-0.17;
Tyrese Francois;23;0.0;0;0;0;0;0;0;0;1;0.00;0.00;0.00;0;0;
Ryan Fraser;29;3.5;0;0;0;-0.3;-0.4;8;9;23;0.00;0.00;0.00;-0.09;-0.11;
Michael Frey;29;9.6;0;3;3;-1.7;1.2;10;22;65;0.00;0.31;0.31;-0.18;0.12;
Niclas Füllkrug;30;27.5;16;5;21;3.2;1.4;41;90;200;0.58;0.18;0.76;0.11;0.05;
Adolfo Gaich;24;8.1;2;0;2;-0.5;-0.4;6;11;33;0.25;0.00;0.25;-0.06;-0.05;
Kévin Gameiro;36;23.3;10;0;10;2;-3.3;48;69;158;0.43;0.00;0.43;0.09;-0.14;
Ignatius Ganago;24;0.7;0;0;0;0;0;0;3;3;0.00;0.00;0.00;-0.07;0;
Aleix Garrido;19;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Sékou Gassama;28;0.4;0;0;0;-0.4;0;1;0;1;0.00;0.00;0.00;-1.06;-0.09;
Joe Gelhardt;21;2.4;0;2;2;-0.8;1.5;2;6;21;0.00;0.85;0.85;-0.36;0.65;
Álvaro Giménez;32;0.2;0;0;0;0;0;0;1;2;0.00;0.00;0.00;0;0;
Olivier Giroud;37;23.8;13;5;18;0.3;1;12;36;152;0.55;0.21;0.76;0.02;0.04;
Maxi Gómez;27;1.2;0;0;0;-0.2;-0.2;1;0;1;0.00;0.00;0.00;-0.18;-0.16;
Anthony Gordon;22;12.2;3;0;3;-0.3;-0.6;28;19;67;0.25;0.00;0.25;-0.02;-0.05;
Jack Grealish;28;22.8;5;7;12;0.4;0;143;100;310;0.22;0.31;0.53;0.02;0;
Michael Gregoritsch;29;23.9;10;4;14;0;1;22;57;124;0.42;0.17;0.59;0;0.05;
Sergi Guardiola;32;5.6;0;0;0;-1;-0.1;7;3;20;0.00;0.00;0.00;-0.18;-0.03;
Sergi Guardiola;32;12.9;3;0;3;-0.4;-0.5;12;28;55;0.23;0.00;0.23;-0.03;-0.04;
Sehrou Guirassy;27;18.3;11;0;11;0.2;-1.4;20;30;97;0.60;0.00;0.60;0.01;-0.08;
Rafik Guitane;24;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Gorka Guruzeta;27;15.8;6;1;7;-0.1;0;15;37;93;0.38;0.06;0.44;-0.01;0;
Darko Gyabi;19;0.1;0;0;0;-0.1;0;0;2;0;0.00;0.00;0.00;-0.72;0;
Erling Haaland;23;30.8;36;8;44;7.6;2.7;35;58;151;1.17;0.26;1.43;0.25;0.09;
Sébastien Haller;29;13.6;9;3;12;0.6;0.7;11;22;65;0.66;0.22;0.88;0.04;0.05;
Ben Hamed Touré;20;2.3;0;0;0;-0.1;0;2;1;8;0.00;0.00;0.00;-0.04;0;
Saïd Hamulic;23;1.2;0;0;0;0;0;1;2;3;0.00;0.00;0.00;-0.04;-0.03;
Eden Hazard;32;2.2;0;1;1;-1;0.5;6;8;25;0.00;0.46;0.46;-0.45;0.23;
Rhys Healey;29;0.7;2;0;2;1.6;-0.2;1;0;7;2.81;0.00;2.81;2.25;-0.34;
Luiz Henrique;22;20.1;1;3;4;-2.2;0.1;61;26;137;0.05;0.15;0.20;-0.11;0.01;
Thomas Henry;29;11.4;2;0;2;0.3;-1.1;3;18;58;0.17;0.00;0.17;0.02;-0.09;
Jack Hinshelwood;18;0.0;0;0;0;0;0;0;0;1;0.00;0.00;0.00;0;0;
Philipp Hofmann;30;29.2;8;2;10;-0.8;-0.7;7;71;117;0.27;0.07;0.34;-0.03;-0.02;
Ilyes Housni;18;0.1;0;0;0;0;0;0;0;1;0.00;0.00;0.00;0;0;
Omari Hutchinson;20;0.3;0;0;0;0;0;1;0;1;0.00;0.00;0.00;0;0;
Rasmus Højlund;20;20.4;9;2;11;-0.5;-0.4;40;37;224;0.44;0.10;0.54;-0.03;-0.02;
Zlatan Ibrahimović;42;1.6;1;0;1;-0.2;-0.2;0;4;10;0.62;0.00;0.62;-0.1;-0.11;
Mounaim El Idrissy;24;27.7;6;0;6;-1.2;-1;21;40;173;0.22;0.00;0.22;-0.04;-0.03;
Borja Iglesias;30;26.3;15;3;18;0.1;0.2;20;33;147;0.57;0.11;0.68;0;0;
Jonathan Ikone;25;22.3;4;4;8;-0.1;0.3;83;67;178;0.18;0.18;0.36;0;0.01;
Ciro Immobile;33;24.7;12;5;17;-2.2;3.1;40;43;174;0.49;0.20;0.69;-0.08;0.12;
Danny Ings;31;8.6;2;2;4;-1;1;9;12;44;0.23;0.23;0.46;-0.12;0.11;
Danny Ings;31;9.2;6;0;6;0.7;-1.2;15;12;46;0.66;0.00;0.66;0.07;-0.13;
Alexander Isak;24;16.9;10;1;11;1.8;-1.2;41;48;122;0.59;0.06;0.65;0.1;-0.07;
Alexander Isak;24;1.7;1;0;1;0.8;-0.1;3;3;11;0.59;0.00;0.59;0.47;-0.06;
Junya Ito;30;32.4;6;5;11;0.3;-3;133;141;338;0.19;0.15;0.34;0.01;-0.1;
Mihailo Ivanović;19;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Nicolas Jackson;22;17.8;12;4;16;4;0.7;49;40;117;0.68;0.23;0.90;0.23;0.05;
Marin Jakoliš;27;0.3;0;0;0;-0.1;0;2;3;2;0.00;0.00;0.00;-0.39;0;
Daniel James;26;2.2;0;0;0;-0.3;-0.3;6;3;9;0.00;0.00;0.00;-0.12;-0.15;
Daniel James;26;6.9;2;1;3;0.3;0.3;24;15;48;0.29;0.14;0.43;0.04;0.03;
Adnan Januzaj;28;0.5;0;0;0;0;0;0;1;6;0.00;0.00;0.00;0;0;
Luis Javier Suárez;26;16.6;4;4;8;-0.4;1.9;29;26;87;0.24;0.24;0.48;-0.02;0.11;
Luis Javier Suárez;26;3.3;3;1;4;0.6;0.6;5;11;17;0.92;0.31;1.23;0.18;0.2;
Jefferson;24;5.0;1;0;1;-0.1;-0.5;27;10;52;0.20;0.00;0.20;-0.03;-0.1;
Jesé;30;2.3;1;1;2;0.7;0.5;1;1;15;0.43;0.43;0.86;0.3;0.23;
Gabriel Jesus;26;22.9;11;6;17;-3;2.1;44;64;194;0.48;0.26;0.74;-0.13;0.09;
Raúl Jiménez;32;9.4;0;1;1;-2.6;-0.7;5;14;45;0.00;0.11;0.11;-0.27;-0.07;
Willian José;32;8.1;2;1;3;-0.9;-0.3;6;14;27;0.25;0.12;0.37;-0.11;-0.05;
Joselu;33;33.2;16;2;18;1.5;-0.4;23;66;147;0.48;0.06;0.54;0.04;-0.01;
Diogo Jota;27;12.6;7;4;11;0.5;1.9;34;30;104;0.56;0.32;0.88;0.04;0.15;
Juanmi;30;10.3;4;0;4;0.3;-0.9;10;15;37;0.39;0.00;0.39;0.03;-0.08;
Vinicius Júnior;23;31.4;10;9;19;-0.5;-0.4;221;87;495;0.32;0.29;0.61;-0.02;-0.01;
Gaël Kakuta;32;0.2;0;0;0;0;0;2;1;1;0.00;0.00;0.00;-0.19;0;
Sasa Kalajdzic;26;0.5;0;0;0;-0.3;0;0;0;1;0.00;0.00;0.00;-0.53;0;
Sasa Kalajdzic;26;2.6;0;3;3;-0.5;2.4;0;4;13;0.00;1.16;1.16;-0.19;0.92;
Arnaud Kalimuendo;21;20.5;7;3;10;-0.5;0.6;36;32;193;0.34;0.15;0.49;-0.02;0.03;
Harry Kane;30;37.8;30;3;33;8.5;-4;60;180;193;0.79;0.08;0.87;0.22;-0.1;
Wilfried Kanga;25;15.7;2;0;2;-1.3;-1.5;11;12;72;0.13;0.00;0.13;-0.08;-0.09;
Kenan Karaman;29;10.8;1;2;3;-1.5;0.6;23;18;55;0.09;0.18;0.28;-0.14;0.05;
Jon Karrikaburu;21;1.0;0;0;0;-0.3;-0.3;2;4;2;0.00;0.00;0.00;-0.28;-0.31;
Moise Kean;23;11.1;6;0;6;-0.3;-1.1;30;13;76;0.54;0.00;0.54;-0.03;-0.1;
Neeskens Kebano;31;8.5;0;3;3;-0.5;1.5;39;24;68;0.00;0.35;0.35;-0.06;0.17;
Kike;34;11.3;2;0;2;-2.4;-1.1;16;15;58;0.18;0.00;0.18;-0.21;-0.1;
Randal Kolo Muani;25;29.2;15;11;26;1.8;4.5;97;61;240;0.51;0.38;0.89;0.06;0.16;
Ibrahima Koné;24;17.5;7;1;8;1.4;0;15;27;109;0.40;0.06;0.46;0.08;0;
Christian Kouamé;26;20.7;4;4;8;-1.3;0.3;50;54;203;0.19;0.19;0.39;-0.07;0.01;
Julian Kristoffersen;26;0.2;0;0;0;0;0;0;0;2;0.00;0.00;0.00;0;0;
Alou Kuol;23;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Khvicha Kvaratskhelia;22;28.0;12;10;22;3.8;2.3;139;91;291;0.43;0.36;0.79;0.14;0.09;
Grejohn Kyei;28;24.8;10;3;13;-1.7;1.4;27;37;160;0.40;0.12;0.52;-0.07;0.06;
Gaëtan Laborde;29;27.8;13;3;16;1.2;-2.8;54;53;196;0.47;0.11;0.57;0.05;-0.1;
Gaëtan Laborde;29;2.8;2;0;2;0.3;-0.2;8;5;20;0.72;0.00;0.72;0.1;-0.07;
Alexandre Lacazette;32;32.5;27;5;32;2.9;-0.4;40;108;227;0.83;0.15;0.98;0.09;-0.01;
Sam Lammers;26;12.2;1;1;2;-1.5;-0.2;17;19;65;0.08;0.08;0.16;-0.12;-0.02;
Sam Lammers;26;9.8;1;1;2;-1.3;0.3;9;19;67;0.10;0.10;0.20;-0.13;0.03;
Cyle Larin;28;16.3;8;3;11;0.5;0.4;25;17;72;0.49;0.18;0.67;0.03;0.02;
Latasa;22;5.0;1;0;1;-0.1;-0.6;0;19;33;0.20;0.00;0.20;-0.02;-0.12;
Armand Lauriente;25;24.2;7;6;13;2.3;-0.2;127;90;263;0.29;0.25;0.54;0.1;-0.01;
Armand Lauriente;25;3.0;1;0;1;-0.8;-1.1;14;14;21;0.34;0.00;0.34;-0.26;-0.38;
Marko Lazetić;19;0.1;0;0;0;-0.1;0;0;0;3;0.00;0.00;0.00;-0.63;0;
Sergio León;34;14.8;6;1;7;2.1;-0.2;21;22;75;0.40;0.07;0.47;0.14;-0.01;
Robert Lewandowski;35;31.6;23;7;30;-1.3;0.7;52;100;248;0.73;0.22;0.95;-0.04;0.02;
Dimitris Limnios;25;0.4;0;0;0;0;-0.1;2;0;7;0.00;0.00;0.00;-0.05;-0.21;
Javier Llabrés;21;0.2;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Anthony Lozano;30;16.0;1;1;2;-1.7;0.2;19;28;58;0.06;0.06;0.12;-0.11;0.01;
Hirving Lozano;28;17.8;3;3;6;-2.4;-0.3;86;49;190;0.17;0.17;0.34;-0.13;-0.02;
Romelu Lukaku;30;18.5;10;6;16;1;1.9;34;41;159;0.54;0.33;0.87;0.05;0.11;
Darwin Machís;30;6.7;0;1;1;-1.1;-1.1;29;10;53;0.00;0.15;0.15;-0.17;-0.17;
Noni Madueke;21;7.1;1;0;1;0.1;-0.5;48;36;100;0.14;0.00;0.14;0.01;-0.07;
Jordan Majchrzak;19;0.2;0;0;0;0;0;0;0;1;0.00;0.00;0.00;0;0;
Donyell Malen;24;19.0;9;6;15;-0.1;1.6;87;60;182;0.47;0.32;0.79;-0.01;0.09;
Mariano;30;1.7;0;0;0;-0.6;-0.4;3;2;12;0.00;0.00;0.00;-0.32;-0.25;
Omar Marmoush;24;16.4;5;1;6;-1.1;-0.2;36;51;160;0.30;0.06;0.37;-0.07;-0.01;
Roger Martí;32;7.3;0;1;1;-0.6;0.3;8;7;50;0.00;0.14;0.14;-0.08;0.05;
Roger Martí;32;7.1;1;0;1;-1.5;-0.5;7;5;34;0.14;0.00;0.14;-0.21;-0.06;
Anthony Martial;28;10.9;6;2;8;-0.2;0.6;18;35;87;0.55;0.18;0.74;-0.03;0.05;
Martinelli;22;31.0;15;5;20;5.7;-4.1;124;94;350;0.48;0.16;0.65;0.18;-0.13;
Lautaro Martínez;26;28.6;21;6;27;2.9;0.6;49;83;172;0.73;0.21;0.94;0.1;0.02;
Jean-Philippe Mateta;26;8.6;2;0;2;-1.4;-0.6;9;6;43;0.23;0.00;0.23;-0.16;-0.07;
Neal Maupay;27;12.4;1;0;1;-3.8;-0.6;8;11;61;0.08;0.00;0.08;-0.31;-0.05;
Stephy Mavididi;25;14.3;4;2;6;-0.3;0.6;34;22;91;0.28;0.14;0.42;-0.02;0.04;
Eric Maxim Choupo-Moting;34;12.4;10;2;12;3.9;0.1;11;43;77;0.81;0.16;0.97;0.32;0;
Keke Maximilian Topp;19;0.2;0;0;0;0;0;1;0;1;0.00;0.00;0.00;-0.16;0;
Borja Mayoral;26;30.7;8;2;10;0.1;-0.7;58;64;166;0.26;0.07;0.33;0;-0.02;
Kylian Mbappé;25;31.3;29;5;34;2.7;-2.4;165;128;468;0.93;0.16;1.09;0.09;-0.07;
Bryan Mbeumo;24;32.3;9;8;17;-0.8;0.4;66;88;235;0.28;0.25;0.53;-0.02;0.02;
Memphis;29;3.0;4;0;4;1;-0.5;4;8;22;1.33;0.00;1.33;0.33;-0.16;
Memphis;29;1.3;1;0;1;0.1;-0.1;2;7;19;0.79;0.00;0.79;0.11;-0.11;
Amine Messoussa;19;0.0;0;0;0;0;0;0;0;1;0.00;0.00;0.00;0;0;
Alexander Mighten;21;0.1;0;0;0;0;0;0;0;1;0.00;0.00;0.00;0;0;
Arkadiusz Milik;29;17.6;7;1;8;0.5;-1.1;10;34;85;0.40;0.06;0.45;0.03;-0.06;
Arkadiusz Milik;29;1.4;0;0;0;-0.1;-0.2;1;1;9;0.00;0.00;0.00;-0.1;-0.17;
Marko Milovanović;20;0.2;0;0;0;-0.1;0;0;1;3;0.00;0.00;0.00;-0.3;0;
Rafa Mir;26;14.4;6;0;6;-1.4;-1;12;11;54;0.42;0.00;0.42;-0.09;-0.07;
Aleksandar Mitrović;29;22.3;14;1;15;-0.9;-1.3;24;44;97;0.63;0.04;0.67;-0.04;-0.06;
Anthony Modeste;35;9.0;2;1;3;-2.3;-0.1;3;8;36;0.22;0.11;0.33;-0.26;-0.01;
Terem Moffi;24;14.8;6;3;9;-2.3;0.1;25;20;77;0.41;0.20;0.61;-0.15;0.01;
Terem Moffi;24;15.4;12;0;12;4.7;-0.5;29;20;61;0.78;0.00;0.78;0.31;-0.03;
Mostafa Mohamed;26;21.5;8;2;10;0.7;0.3;13;22;109;0.37;0.09;0.46;0.03;0.01;
Daniele Montevago;20;2.6;0;0;0;-0.5;-0.2;1;0;10;0.00;0.00;0.00;-0.19;-0.09;
Kieffer Moore;31;14.2;4;0;4;-0.4;-0.3;10;23;56;0.28;0.00;0.28;-0.03;-0.02;
Andrew Moran;20;0.1;0;0;0;0;0;0;0;1;0.00;0.00;0.00;0;0;
Álvaro Morata;31;21.1;13;2;15;1.2;0;33;17;102;0.62;0.09;0.71;0.06;0;
Gerard Moreno;31;13.7;7;3;10;-1.7;0.3;21;68;108;0.51;0.22;0.73;-0.13;0.03;
Loren Morón;30;0.2;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Youssoufa Moukoko;19;12.7;7;3;10;0.6;1.2;9;11;61;0.55;0.24;0.79;0.05;0.1;
Steve Mounié;29;18.4;6;0;6;-1.3;-0.8;23;32;89;0.33;0.00;0.33;-0.07;-0.04;
Bevic Moussiti-Oko;28;7.8;1;0;1;-0.8;-0.8;10;10;45;0.13;0.00;0.13;-0.11;-0.11;
Divin Mubama;19;0.4;0;0;0;0;0;0;0;1;0.00;0.00;0.00;0;-0.07;
Álvaro Muñoz;19;0.9;1;1;2;0.8;0.7;0;1;3;1.14;1.14;2.28;0.86;0.81;
Vedat Muriqi;29;32.6;15;3;18;2.5;0.9;28;60;152;0.46;0.09;0.55;0.08;0.03;
Jacob Murphy;28;13.9;4;2;6;0.7;-0.8;66;57;141;0.29;0.14;0.43;0.05;-0.06;
Francisco Mwepu;23;0.2;0;0;0;0;0;0;1;2;0.00;0.00;0.00;0;0;
