Player;Age;90s;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Att;Tkl%;Lost;Blocks;Sh;Pass;Int;Tkl+Int;Clr;Err;Price
Igor Zubeldia;26;28.2;35;18;28;7;0;25;35;71.4;10;23;17;6;21;56;93;0;
Kurt Zouma;29;22.1;9;4;4;5;0;5;8;62.5;3;17;14;3;30;39;120;1;
Tanguy Zoukrou;20;5.7;14;7;8;6;0;10;14;71.4;4;18;11;7;2;16;24;0;
Nadir Zortea;24;7.3;15;8;12;2;1;9;14;64.3;5;10;4;6;4;19;21;0;
Oleksandr Zinchenko;27;23.5;40;18;14;17;9;21;39;53.8;18;20;2;18;22;62;38;2;
David Zima;23;4.5;9;5;5;4;0;3;4;75.0;1;7;2;5;9;18;11;2;
Nathan Zeze;18;0.7;3;2;2;1;0;1;1;100.0;0;0;0;0;0;3;1;0;
Jordan Zemura;24;16.2;39;24;24;14;1;23;43;53.5;20;31;9;22;16;55;32;0;
Aaron Zehnter;19;0.0;0;0;0;0;0;0;1;0.0;1;0;0;0;1;1;0;0;
Marvin Zeegelaar;33;3.9;8;4;6;2;0;3;4;75.0;1;2;0;2;3;11;5;0;
Deyovaisio Zeefuik;25;0.1;1;1;0;1;0;0;0;;0;0;0;0;0;1;0;0;
Akim Zedadka;28;17.8;35;21;21;10;4;18;32;56.3;14;17;3;14;23;58;51;1;
Davide Zappacosta;31;16.4;34;18;17;12;5;15;22;68.2;7;23;2;21;9;43;16;0;
Mattia Zanotti;20;0.3;0;0;0;0;0;0;1;0.0;1;2;0;2;0;0;0;0;
Alessandro Zanoli;23;0.1;1;0;0;1;0;0;0;;0;0;0;0;0;1;1;0;
Alessandro Zanoli;23;17.1;22;14;14;6;2;8;17;47.1;9;19;15;4;12;34;39;0;
Nicola Zalewski;21;24.4;45;26;25;15;5;22;71;31.0;49;27;1;26;31;76;23;0;
Joseba Zaldúa;31;7.1;15;8;10;4;1;7;10;70.0;3;4;2;2;11;26;22;0;
Dan-Axel Zagadou;24;14.1;14;9;10;4;0;5;14;35.7;9;19;16;3;21;35;81;1;
Illia Zabarnyi;21;3.3;4;2;4;0;0;3;7;42.9;4;7;2;5;3;7;14;0;
Mohamed Youssouf;35;27.3;72;44;41;24;7;38;61;62.3;23;32;8;24;65;137;70;0;
Ashley Young;38;22.6;50;27;34;15;1;37;49;75.5;12;25;11;14;21;71;65;0;
Maya Yoshida;35;28.4;34;22;19;13;2;18;29;62.1;11;40;29;11;46;80;132;2;
Leny Yoro;18;8.5;11;5;8;3;0;4;9;44.4;5;6;1;5;18;29;27;1;
Darlin Yongwa;23;8.7;13;11;7;5;1;4;15;26.7;11;13;1;12;5;18;11;0;
Jawad El Yamiq;31;17.9;17;11;10;7;0;6;11;54.5;5;27;19;8;37;54;101;0;
Joe Worrall;26;24.7;53;25;39;12;2;25;35;71.4;10;33;23;10;26;79;111;1;
Christopher Wooh;22;11.2;16;7;8;8;0;9;11;81.8;2;11;5;6;6;22;49;0;
Marius Wolf;28;17.4;25;18;9;12;4;16;29;55.2;13;40;10;30;18;43;22;1;
Maximilian Wöber;25;14.1;25;18;9;15;1;16;24;66.7;8;32;14;18;27;52;67;1;
Przemysław Wiśniewski;25;11.1;13;6;7;6;0;6;18;33.3;12;16;8;8;11;24;66;0;
Frederik Winther;22;1.0;2;2;1;1;0;0;2;0.0;2;1;1;0;0;2;7;0;
Neco Williams;22;20.9;72;47;49;17;6;38;71;53.5;33;33;8;25;33;105;48;0;
Mateusz Wieteska;26;34.6;41;23;28;13;0;19;33;57.6;14;44;28;16;56;97;97;4;
Silvan Widmer;30;18.8;26;17;15;10;1;20;39;51.3;19;22;8;14;31;57;28;0;
Ben White;26;33.9;60;31;23;30;7;42;70;60.0;28;47;11;36;22;82;79;1;
Adam Webster;28;22.1;22;12;10;9;3;11;19;57.9;8;30;19;11;19;41;55;4;
Joel Ward;34;25.1;50;36;30;11;9;30;41;73.2;11;32;16;16;25;75;80;1;
Aaron Wan-Bissaka;26;15.9;40;25;20;17;3;23;25;92.0;2;24;8;16;22;62;41;0;
Sebastian Walukiewicz;23;6.7;9;6;7;2;0;4;6;66.7;2;10;9;1;7;16;30;0;
Kyle Walker-Peters;26;29.4;61;32;34;24;3;22;42;52.4;20;47;8;39;27;88;52;0;
Kyle Walker;33;21.8;13;9;8;5;0;4;24;16.7;20;12;2;10;18;31;22;0;
Stefan de Vrij;31;21.6;28;18;19;9;0;8;14;57.1;6;18;10;8;40;68;80;0;
Mërgim Vojvoda;28;19.1;22;12;15;6;1;12;24;50.0;12;14;2;12;10;32;31;1;
Kevin Vogt;32;19.7;15;10;10;5;0;9;22;40.9;13;18;11;7;26;41;67;0;
Daniel Vivian;24;26.4;57;32;36;16;5;36;45;80.0;9;27;14;13;24;81;90;3;
Mattia Viti;21;7.0;4;2;1;1;2;2;5;40.0;3;9;3;6;8;12;22;0;
Matías Viña;26;0.6;3;1;1;1;1;1;3;33.3;2;5;1;4;2;5;5;0;
Matías Viña;26;5.1;19;11;9;8;2;14;30;46.7;16;13;1;12;4;23;22;0;
Nacho Vidal;28;13.9;27;14;16;6;5;17;32;53.1;15;17;4;13;19;46;33;1;
João Victor;25;9.4;19;11;9;7;3;12;22;54.5;10;11;1;10;15;34;30;0;
Gonzalo Verdú;35;7.8;10;5;8;2;0;4;8;50.0;4;8;6;2;10;20;33;0;
Lorenzo Venuti;28;10.3;18;7;6;11;1;11;18;61.1;7;7;2;5;5;23;17;2;
Micky van de Ven;22;33.0;45;30;26;18;1;28;39;71.8;11;42;24;18;26;71;108;2;
Joël Veltman;31;24.3;62;32;44;14;4;37;57;64.9;20;27;8;19;19;81;51;0;
Miloš Veljković;28;25.2;30;19;17;13;0;18;29;62.1;11;32;16;16;33;63;103;0;
Renato Veiga;20;7.1;9;6;4;3;2;7;9;77.8;2;20;6;14;7;16;29;1;
Lucas Vázquez;32;12.7;34;23;22;10;2;20;28;71.4;8;10;0;10;7;41;13;0;
Johan Vásquez;25;20.1;41;26;34;7;0;18;39;46.2;21;27;20;7;45;86;93;1;
Raphaël Varane;30;21.2;24;9;18;6;0;7;17;41.2;10;24;17;7;11;35;91;0;
Virgil van Dijk;32;31.5;27;14;13;11;3;8;19;42.1;11;24;16;8;31;58;138;2;
Jesús Vallejo;26;0.2;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
Martin Valjent;28;29.5;35;27;22;12;1;19;28;67.9;9;39;21;18;29;64;137;0;
Enrique Valiente;21;4.1;1;1;1;0;0;0;0;;0;4;3;1;5;6;23;0;
Yan Valery;24;27.7;54;39;28;20;6;20;37;54.1;17;35;15;20;34;88;82;0;
Yan Valery;24;0.5;0;0;0;0;0;0;0;;0;1;0;1;0;0;3;0;
Emanuele Valeri;25;30.9;54;27;29;21;4;29;69;42.0;40;17;3;14;22;76;44;1;
Josha Vagnoman;23;16.4;26;15;12;11;3;15;27;55.6;12;20;2;18;8;34;29;1;
Jere Uronen;29;7.5;14;10;6;6;2;6;10;60.0;4;5;2;3;8;22;13;0;
Jere Uronen;29;3.3;8;5;4;4;0;7;12;58.3;5;6;2;4;7;15;5;0;
Filip Uremović;26;19.2;38;23;29;8;1;14;22;63.6;8;18;13;5;36;74;88;2;
Dayot Upamecano;25;26.1;65;37;43;22;0;28;45;62.2;17;26;6;20;27;92;71;4;
Samuel Umtiti;30;23.5;52;34;25;25;2;18;26;69.2;8;26;14;12;26;78;79;0;
Iyenoma Udogie;21;30.0;71;45;42;24;5;34;59;57.6;25;34;6;28;36;107;25;0;
Tuta;24;30.2;53;35;27;19;7;33;57;57.9;24;47;14;33;49;102;134;2;
Alessandro Tuia;33;5.7;10;6;6;4;0;3;9;33.3;6;3;1;2;15;25;29;0;
Kostas Tsimikas;27;8.6;14;9;10;2;2;10;16;62.5;6;8;1;7;12;26;15;0;
Adrien Truffert;22;21.7;62;32;36;17;9;31;46;67.4;15;32;8;24;22;84;55;0;
William Troost-Ekong;30;4.9;11;3;7;4;0;6;7;85.7;1;7;4;3;6;17;10;0;
Kieran Trippier;33;37.1;71;49;36;27;8;46;90;51.1;44;45;15;30;43;114;84;2;
Christopher Trimmel;36;20.1;31;16;16;12;3;20;31;64.5;11;14;1;13;25;56;48;0;
Hamari Traoré;31;28.1;48;32;26;15;7;28;52;53.8;24;33;7;26;38;86;64;0;
Charles Traore;31;5.4;8;5;5;2;1;5;7;71.4;2;9;2;7;10;18;12;0;
Souleymane Touré;20;17.6;29;13;19;9;1;16;20;80.0;4;32;12;20;26;55;56;1;
Souleymane Touré;20;0.8;2;1;1;1;0;1;2;50.0;1;1;0;1;0;2;5;0;
Almamy Touré;27;4.4;13;7;7;5;1;5;9;55.6;4;9;2;7;10;23;8;0;
Pau Torres;26;33.9;43;25;25;13;5;23;36;63.9;13;36;27;9;13;56;146;3;
David Torres;20;4.3;1;1;0;1;0;1;1;100.0;0;4;2;2;3;4;8;0;
Lorenzo Tonelli;33;0.2;0;0;0;0;0;0;1;0.0;1;0;0;0;0;0;0;0;
Fikayo Tomori;26;30.7;70;34;44;25;1;22;34;64.7;12;46;25;21;29;99;88;1;
James Tomkins;34;3.8;4;2;2;1;1;1;3;33.3;2;3;2;1;5;9;19;0;
Takehiro Tomiyasu;25;7.4;27;18;12;10;5;13;18;72.2;5;7;0;7;14;41;15;1;
Rafael Tolói;33;30.9;69;44;37;32;0;35;64;54.7;29;42;18;24;57;126;88;1;
Jeremy Toljan;29;29.7;36;23;17;14;5;22;33;66.7;11;31;14;17;18;54;60;1;
Harry Toffolo;28;10.4;17;8;10;4;3;10;14;71.4;4;16;8;8;10;27;33;0;
Jean-Clair Todibo;24;31.9;76;48;54;19;3;41;56;73.2;15;41;19;22;41;117;110;2;
